Random seed: 0
Thread 0 operations:
  Op 0: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 1: FREE, numBytes=0, corrospondingAlloc=0
  Op 2: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 3: FREE, numBytes=0, corrospondingAlloc=2
  Op 4: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 5: FREE, numBytes=0, corrospondingAlloc=4
  Op 6: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 7: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 8: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 9: FREE, numBytes=0, corrospondingAlloc=7
  Op 10: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 11: FREE, numBytes=0, corrospondingAlloc=6
  Op 12: FREE, numBytes=0, corrospondingAlloc=8
  Op 13: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 14: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 15: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 16: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 17: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 18: FREE, numBytes=0, corrospondingAlloc=15
  Op 19: FREE, numBytes=0, corrospondingAlloc=10
  Op 20: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 21: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 22: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 23: FREE, numBytes=0, corrospondingAlloc=21
  Op 24: FREE, numBytes=0, corrospondingAlloc=13
  Op 25: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 26: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 27: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 28: FREE, numBytes=0, corrospondingAlloc=14
  Op 29: FREE, numBytes=0, corrospondingAlloc=26
Thread 1 operations:
  Op 0: ALLOC, numBytes=16, corrospondingAlloc=-1
  Op 1: FREE, numBytes=0, corrospondingAlloc=0
